",""a"",""unlist.b."",""unlist.c."",""unlist.d."",""Freq"",""anio"",""codigo"""
"374,""la serena"",""no"",""ecuador"",""mujer"",126,""2015"",4101"
"375,""la serena"",""sí"",""argentina"",""mujer"",293,""2015"",4101"
"376,""la serena"",""no"",""alemania"",""hombre"",35,""2015"",4101"
"377,""la serena"",""sí"",""perú"",""mujer"",43,""2015"",4101"
"378,""la serena"",""no"",""alemania"",""mujer"",99,""2015"",4101"
"379,""la serena"",""no"",""república dominicana"",""mujer"",78,""2015"",4101"
"380,""la serena"",""sí"",""brasil"",""hombre"",102,""2015"",4101"
"381,""la serena"",""no"",""argentina"",""mujer"",260,""2015"",4101"
"382,""la serena"",""sí"",""italia"",""hombre"",44,""2015"",4101"
"383,""la serena"",""no"",""colombia"",""hombre"",101,""2015"",4101"
"384,""la serena"",""sí"",""argentina"",""hombre"",168,""2015"",4101"
"385,""la serena"",""sí"",""colombia"",""mujer"",149,""2015"",4101"
"386,""la serena"",""sí"",""república dominicana"",""hombre"",156,""2015"",4101"
"387,""laja"",""no"",""perú"",""mujer"",34,""2015"",8304"
"388,""las condes"",""sí"",""alemania"",""hombre"",167,""2015"",13114"
"389,""las condes"",""sí"",""alemania"",""mujer"",312,""2015"",13114"
"390,""las condes"",""sí"",""italia"",""mujer"",69,""2015"",13114"
"391,""las condes"",""no"",""alemania"",""mujer"",252,""2015"",13114"
"392,""las condes"",""sí"",""costa rica"",""hombre"",127,""2015"",13114"
"393,""las condes"",""sí"",""brasil"",""hombre"",142,""2015"",13114"
"394,""las condes"",""sí"",""reino unido"",""hombre"",39,""2015"",13114"
"395,""las condes"",""no"",""reino unido"",""hombre"",55,""2015"",13114"
"396,""las condes"",""sí"",""israel"",""mujer"",102,""2015"",13114"
"397,""las condes"",""no"",""costa rica"",""mujer"",254,""2015"",13114"
"398,""las condes"",""sí"",""estados unidos"",""mujer"",41,""2015"",13114"
"399,""las condes"",""no"",""italia"",""hombre"",69,""2015"",13114"
"400,""las condes"",""no"",""alemania"",""hombre"",172,""2015"",13114"
"401,""las condes"",""sí"",""españa"",""mujer"",294,""2015"",13114"
"402,""las condes"",""sí"",""méxico"",""hombre"",107,""2015"",13114"
"403,""las condes"",""no"",""méxico"",""mujer"",107,""2015"",13114"
"404,""las condes"",""sí"",""china"",""hombre"",92,""2015"",13114"
"405,""las condes"",""sí"",""estados unidos"",""hombre"",130,""2015"",13114"
"406,""las condes"",""sí"",""ecuador"",""mujer"",45,""2015"",13114"
"407,""las condes"",""sí"",""venezuela"",""mujer"",610,""2015"",13114"
"408,""las condes"",""sí"",""españa"",""hombre"",364,""2015"",13114"
"409,""las condes"",""sí"",""corea del sur"",""hombre"",304,""2015"",13114"
"410,""las condes"",""sí"",""bolivia"",""mujer"",118,""2015"",13114"
"411,""las condes"",""sí"",""suiza"",""hombre"",76,""2015"",13114"
"412,""las condes"",""sí"",""república dominicana"",""mujer"",86,""2015"",13114"
"413,""las condes"",""no"",""estados unidos"",""hombre"",207,""2015"",13114"
"414,""las condes"",""no"",""ecuador"",""hombre"",41,""2015"",13114"
"415,""las condes"",""no"",""perú"",""mujer"",274,""2015"",13114"
"416,""las condes"",""sí"",""italia"",""hombre"",539,""2015"",13114"
"417,""las condes"",""sí"",""uruguay"",""mujer"",294,""2015"",13114"
"418,""las condes"",""no"",""francia"",""mujer"",339,""2015"",13114"
"419,""las condes"",""no"",""corea del sur"",""hombre"",76,""2015"",13114"
"420,""las condes"",""sí"",""china"",""mujer"",92,""2015"",13114"
"421,""las condes"",""sí"",""venezuela"",""hombre"",261,""2015"",13114"
"422,""las condes"",""sí"",""argentina"",""mujer"",597,""2015"",13114"
"423,""las condes"",""sí"",""uruguay"",""hombre"",215,""2015"",13114"
"424,""las condes"",""sí"",""méxico"",""mujer"",28,""2015"",13114"
"425,""las condes"",""no"",""polonia"",""mujer"",39,""2015"",13114"
"426,""las condes"",""no"",""corea del sur"",""mujer"",76,""2015"",13114"
"427,""las condes"",""no"",""australia"",""mujer"",79,""2015"",13114"
"428,""las condes"",""sí"",""dinamarca"",""mujer"",70,""2015"",13114"
"429,""las condes"",""sí"",""bolivia"",""hombre"",139,""2015"",13114"
"430,""las condes"",""no"",""brasil"",""mujer"",142,""2015"",13114"
"431,""las condes"",""no"",""venezuela"",""hombre"",125,""2015"",13114"
"432,""las condes"",""sí"",""perú"",""hombre"",303,""2015"",13114"
"433,""las condes"",""no"",""españa"",""mujer"",473,""2015"",13114"
"434,""las condes"",""no"",""argentina"",""mujer"",356,""2015"",13114"
"435,""las condes"",""no"",""uruguay"",""mujer"",183,""2015"",13114"
"436,""las condes"",""no"",""italia"",""mujer"",145,""2015"",13114"
"437,""las condes"",""no"",""españa"",""hombre"",281,""2015"",13114"
"438,""las condes"",""sí"",""colombia"",""mujer"",499,""2015"",13114"
"439,""las condes"",""sí"",""perú"",""mujer"",607,""2015"",13114"
"440,""las condes"",""no"",""estados unidos"",""mujer"",294,""2015"",13114"
"441,""las condes"",""sí"",""francia"",""hombre"",157,""2015"",13114"
"442,""las condes"",""no"",""colombia"",""hombre"",352,""2015"",13114"
"443,""las condes"",""sí"",""colombia"",""hombre"",463,""2015"",13114"
"444,""las condes"",""no"",""colombia"",""mujer"",257,""2015"",13114"
"445,""las condes"",""sí"",""argentina"",""hombre"",831,""2015"",13114"
"446,""las condes"",""sí"",""corea del sur"",""mujer"",304,""2015"",13114"
"447,""las condes"",""no"",""argentina"",""hombre"",92,""2015"",13114"
"448,""las condes"",""no"",""costa rica"",""hombre"",127,""2015"",13114"
"449,""las condes"",""no"",""bolivia"",""hombre"",41,""2015"",13114"
"450,""las condes"",""no"",""venezuela"",""mujer"",225,""2015"",13114"
"451,""lautaro"",""sí"",""argentina"",""hombre"",64,""2015"",9108"
"452,""lebu"",""sí"",""argentina"",""hombre"",73,""2015"",8201"
"453,""limache"",""no"",""venezuela"",""hombre"",73,""2015"",5802"
"454,""limache"",""no"",""italia"",""hombre"",59,""2015"",5802"
"455,""limache"",""no"",""venezuela"",""mujer"",146,""2015"",5802"
"456,""limache"",""sí"",""ecuador"",""hombre"",46,""2015"",5802"
"457,""limache"",""no"",""alemania"",""mujer"",73,""2015"",5802"
"458,""limache"",""sí"",""italia"",""hombre"",10,""2015"",5802"
"459,""limache"",""no"",""francia"",""hombre"",46,""2015"",5802"
"460,""limache"",""sí"",""venezuela"",""mujer"",73,""2015"",5802"
"461,""limache"",""sí"",""argentina"",""hombre"",5,""2015"",5802"
"462,""limache"",""no"",""francia"",""mujer"",11,""2015"",5802"
"463,""linares"",""sí"",""bolivia"",""hombre"",97,""2015"",7401"
"464,""linares"",""no"",""brasil"",""hombre"",97,""2015"",7401"
"465,""linares"",""no"",""brasil"",""mujer"",97,""2015"",7401"
"466,""llanquihue"",""no"",""italia"",""mujer"",16,""2015"",10107"
"467,""los andes"",""sí"",""perú"",""hombre"",55,""2015"",5301"
"468,""los andes"",""no"",""colombia"",""hombre"",106,""2015"",5301"
"469,""los andes"",""sí"",""venezuela"",""mujer"",272,""2015"",5301"
"470,""los andes"",""sí"",""argentina"",""mujer"",40,""2015"",5301"
"471,""los andes"",""sí"",""venezuela"",""hombre"",272,""2015"",5301"
"472,""los andes"",""no"",""colombia"",""mujer"",106,""2015"",5301"
"473,""los andes"",""sí"",""brasil"",""hombre"",44,""2015"",5301"
"474,""los andes"",""sí"",""ecuador"",""mujer"",66,""2015"",5301"
"475,""los andes"",""sí"",""paraguay"",""hombre"",48,""2015"",5301"
"476,""los Ángeles"",""sí"",""méxico"",""mujer"",48,""2015"",8301"
"477,""los Ángeles"",""sí"",""perú"",""mujer"",50,""2015"",8301"
"478,""los Ángeles"",""no"",""suiza"",""mujer"",47,""2015"",8301"
"479,""los Ángeles"",""sí"",""españa"",""mujer"",36,""2015"",8301"
"480,""los Ángeles"",""no"",""españa"",""mujer"",72,""2015"",8301"
"481,""los Ángeles"",""sí"",""canadá"",""hombre"",21,""2015"",8301"
"482,""los Ángeles"",""sí"",""colombia"",""mujer"",21,""2015"",8301"
"483,""los Ángeles"",""sí"",""reino unido"",""hombre"",53,""2015"",8301"
"484,""los Ángeles"",""sí"",""perú"",""hombre"",83,""2015"",8301"
"485,""los lagos"",""no"",""méxico"",""mujer"",28,""2015"",14104"
"486,""machalí"",""no"",""colombia"",""mujer"",17,""2015"",6108"
"487,""machalí"",""sí"",""perú"",""mujer"",38,""2015"",6108"
"488,""machalí"",""no"",""perú"",""mujer"",38,""2015"",6108"
"489,""machalí"",""sí"",""cuba"",""hombre"",71,""2015"",6108"
"490,""machalí"",""sí"",""perú"",""hombre"",38,""2015"",6108"
"491,""machalí"",""sí"",""colombia"",""mujer"",17,""2015"",6108"
"492,""machalí"",""sí"",""cuba"",""mujer"",75,""2015"",6108"
"493,""machalí"",""sí"",""argentina"",""hombre"",14,""2015"",6108"
"494,""machalí"",""no"",""brasil"",""mujer"",16,""2015"",6108"
"495,""machalí"",""no"",""argentina"",""mujer"",27,""2015"",6108"
"496,""machalí"",""no"",""méxico"",""hombre"",14,""2015"",6108"
"497,""macul"",""sí"",""perú"",""mujer"",134,""2015"",13118"
"498,""macul"",""sí"",""perú"",""hombre"",96,""2015"",13118"
"499,""macul"",""sí"",""rusia"",""mujer"",96,""2015"",13118"
"500,""macul"",""sí"",""venezuela"",""mujer"",284,""2015"",13118"
"501,""macul"",""no"",""argentina"",""hombre"",283,""2015"",13118"
"502,""macul"",""no"",""venezuela"",""mujer"",284,""2015"",13118"
"503,""macul"",""sí"",""polonia"",""mujer"",226,""2015"",13118"
"504,""maipú"",""sí"",""méxico"",""hombre"",587,""2015"",13119"
"505,""maipú"",""sí"",""colombia"",""mujer"",541,""2015"",13119"
"506,""maipú"",""sí"",""colombia"",""hombre"",541,""2015"",13119"
"507,""maipú"",""no"",""argentina"",""mujer"",874,""2015"",13119"
"508,""maipú"",""no"",""españa"",""mujer"",292,""2015"",13119"
"509,""maipú"",""sí"",""república dominicana"",""hombre"",558,""2015"",13119"
"510,""maipú"",""sí"",""nicaragua"",""mujer"",389,""2015"",13119"
"511,""maipú"",""sí"",""perú"",""mujer"",1562,""2015"",13119"
"512,""maipú"",""no"",""perú"",""mujer"",1905,""2015"",13119"
"513,""maipú"",""sí"",""argentina"",""mujer"",437,""2015"",13119"
"514,""maipú"",""sí"",""perú"",""hombre"",534,""2015"",13119"
"515,""maipú"",""no"",""colombia"",""mujer"",1264,""2015"",13119"
"516,""maipú"",""no"",""italia"",""mujer"",332,""2015"",13119"
"517,""melipilla"",""no"",""venezuela"",""hombre"",197,""2015"",13501"
"518,""melipilla"",""sí"",""venezuela"",""mujer"",197,""2015"",13501"
"519,""melipilla"",""sí"",""bolivia"",""mujer"",804,""2015"",13501"
"520,""melipilla"",""sí"",""bolivia"",""hombre"",1722,""2015"",13501"
"521,""melipilla"",""no"",""bolivia"",""hombre"",111,""2015"",13501"
"522,""melipilla"",""no"",""argentina"",""mujer"",121,""2015"",13501"
"523,""natales"",""sí"",""turquía"",""mujer"",9,""2015"",12401"
"524,""natales"",""sí"",""perú"",""hombre"",21,""2015"",12401"
"525,""natales"",""sí"",""colombia"",""hombre"",60,""2015"",12401"
"526,""natales"",""no"",""argentina"",""hombre"",8,""2015"",12401"
"527,""natales"",""sí"",""argentina"",""hombre"",9,""2015"",12401"
"528,""natales"",""sí"",""argentina"",""mujer"",28,""2015"",12401"
"529,""natales"",""no"",""alemania"",""hombre"",7,""2015"",12401"
"530,""natales"",""sí"",""colombia"",""mujer"",15,""2015"",12401"
"531,""natales"",""sí"",""estados unidos"",""hombre"",15,""2015"",12401"
"532,""natales"",""no"",""argentina"",""mujer"",10,""2015"",12401"
"533,""Ñuñoa"",""no"",""brasil"",""mujer"",107,""2015"",13120"
"534,""Ñuñoa"",""no"",""argentina"",""mujer"",164,""2015"",13120"
"535,""Ñuñoa"",""sí"",""venezuela"",""mujer"",254,""2015"",13120"
"536,""Ñuñoa"",""no"",""ecuador"",""mujer"",88,""2015"",13120"
"537,""Ñuñoa"",""sí"",""costa rica"",""mujer"",54,""2015"",13120"
"538,""Ñuñoa"",""no"",""brasil"",""hombre"",27,""2015"",13120"
"539,""Ñuñoa"",""sí"",""francia"",""hombre"",28,""2015"",13120"
"540,""Ñuñoa"",""sí"",""cuba"",""hombre"",46,""2015"",13120"
"541,""Ñuñoa"",""sí"",""perú"",""mujer"",132,""2015"",13120"
"542,""Ñuñoa"",""no"",""perú"",""mujer"",127,""2015"",13120"
"543,""Ñuñoa"",""no"",""cuba"",""mujer"",46,""2015"",13120"
"544,""Ñuñoa"",""no"",""colombia"",""mujer"",192,""2015"",13120"
"545,""Ñuñoa"",""no"",""francia"",""mujer"",41,""2015"",13120"
"546,""Ñuñoa"",""sí"",""holanda"",""hombre"",23,""2015"",13120"
"547,""Ñuñoa"",""no"",""colombia"",""hombre"",44,""2015"",13120"
"548,""Ñuñoa"",""sí"",""estados unidos"",""hombre"",117,""2015"",13120"
"549,""Ñuñoa"",""no"",""venezuela"",""hombre"",10,""2015"",13120"
"550,""Ñuñoa"",""sí"",""turquía"",""mujer"",50,""2015"",13120"
"551,""Ñuñoa"",""sí"",""argentina"",""hombre"",441,""2015"",13120"
"552,""Ñuñoa"",""sí"",""brasil"",""hombre"",130,""2015"",13120"
"553,""Ñuñoa"",""sí"",""haití"",""hombre"",36,""2015"",13120"
"554,""Ñuñoa"",""sí"",""alemania"",""mujer"",84,""2015"",13120"
"555,""Ñuñoa"",""sí"",""colombia"",""mujer"",300,""2015"",13120"
"556,""Ñuñoa"",""sí"",""uruguay"",""hombre"",98,""2015"",13120"
"557,""Ñuñoa"",""sí"",""venezuela"",""hombre"",60,""2015"",13120"
"558,""Ñuñoa"",""sí"",""francia"",""mujer"",28,""2015"",13120"
"559,""Ñuñoa"",""sí"",""japón"",""hombre"",29,""2015"",13120"
"560,""Ñuñoa"",""no"",""méxico"",""mujer"",44,""2015"",13120"
"561,""Ñuñoa"",""no"",""argentina"",""hombre"",110,""2015"",13120"
"562,""Ñuñoa"",""sí"",""italia"",""hombre"",159,""2015"",13120"
"563,""Ñuñoa"",""sí"",""brasil"",""mujer"",144,""2015"",13120"
"564,""Ñuñoa"",""sí"",""ecuador"",""mujer"",17,""2015"",13120"
"565,""Ñuñoa"",""sí"",""españa"",""mujer"",448,""2015"",13120"
"566,""Ñuñoa"",""sí"",""españa"",""hombre"",222,""2015"",13120"
"567,""Ñuñoa"",""no"",""perú"",""hombre"",370,""2015"",13120"
"568,""Ñuñoa"",""sí"",""italia"",""mujer"",148,""2015"",13120"
"569,""Ñuñoa"",""no"",""bolivia"",""hombre"",45,""2015"",13120"
"570,""Ñuñoa"",""sí"",""argelia"",""hombre"",79,""2015"",13120"
"571,""Ñuñoa"",""sí"",""ecuador"",""hombre"",51,""2015"",13120"
"572,""Ñuñoa"",""sí"",""bélgica"",""mujer"",127,""2015"",13120"
"573,""Ñuñoa"",""no"",""cuba"",""hombre"",23,""2015"",13120"
"574,""Ñuñoa"",""sí"",""cuba"",""mujer"",23,""2015"",13120"
"575,""Ñuñoa"",""sí"",""bolivia"",""mujer"",32,""2015"",13120"
"576,""Ñuñoa"",""no"",""argelia"",""mujer"",79,""2015"",13120"
"577,""Ñuñoa"",""no"",""méxico"",""hombre"",132,""2015"",13120"
"578,""Ñuñoa"",""sí"",""colombia"",""hombre"",301,""2015"",13120"
"579,""Ñuñoa"",""sí"",""reino unido"",""mujer"",26,""2015"",13120"
"580,""Ñuñoa"",""sí"",""argentina"",""mujer"",230,""2015"",13120"
"581,""Ñuñoa"",""sí"",""perú"",""hombre"",120,""2015"",13120"
"582,""osorno"",""no"",""argentina"",""mujer"",142,""2015"",10301"
"583,""osorno"",""sí"",""argentina"",""hombre"",213,""2015"",10301"
"584,""ovalle"",""sí"",""perú"",""mujer"",263,""2015"",4301"
"585,""ovalle"",""sí"",""colombia"",""mujer"",64,""2015"",4301"
"586,""ovalle"",""sí"",""perú"",""hombre"",127,""2015"",4301"
"587,""padre las casas"",""sí"",""argentina"",""mujer"",86,""2015"",9112"
"588,""padre las casas"",""no"",""argentina"",""mujer"",172,""2015"",9112"
"589,""paillaco"",""no"",""no contesta"",""mujer"",12,""2015"",14107"
"590,""panguipulli"",""sí"",""argentina"",""mujer"",26,""2015"",14108"
"591,""panguipulli"",""no"",""argentina"",""mujer"",26,""2015"",14108"
"592,""panguipulli"",""no"",""argentina"",""hombre"",26,""2015"",14108"
"593,""pedro aguirre cerda"",""no"",""haití"",""mujer"",327,""2015"",13121"
"594,""pedro aguirre cerda"",""sí"",""república dominicana"",""mujer"",60,""2015"",13121"
"595,""pedro aguirre cerda"",""sí"",""estados unidos"",""hombre"",58,""2015"",13121"
"596,""pedro aguirre cerda"",""sí"",""perú"",""hombre"",38,""2015"",13121"
"597,""pedro aguirre cerda"",""no"",""haití"",""hombre"",155,""2015"",13121"
"598,""pedro aguirre cerda"",""sí"",""haití"",""hombre"",267,""2015"",13121"
"599,""pedro aguirre cerda"",""sí"",""colombia"",""hombre"",38,""2015"",13121"
"600,""pedro aguirre cerda"",""sí"",""ucrania"",""hombre"",83,""2015"",13121"
"601,""pedro aguirre cerda"",""sí"",""argentina"",""hombre"",52,""2015"",13121"
"602,""pedro aguirre cerda"",""sí"",""haití"",""mujer"",95,""2015"",13121"
"603,""peñalolén"",""sí"",""haití"",""hombre"",214,""2015"",13122"
"604,""peñalolén"",""sí"",""canadá"",""hombre"",159,""2015"",13122"
"605,""peñalolén"",""sí"",""argentina"",""mujer"",107,""2015"",13122"
"606,""peñalolén"",""no"",""colombia"",""hombre"",132,""2015"",13122"
"607,""peñalolén"",""sí"",""colombia"",""hombre"",396,""2015"",13122"
"608,""peñalolén"",""no"",""cuba"",""mujer"",291,""2015"",13122"
"609,""peñalolén"",""sí"",""perú"",""hombre"",905,""2015"",13122"
"610,""peñalolén"",""no"",""haití"",""mujer"",107,""2015"",13122"
"611,""peñalolén"",""sí"",""perú"",""mujer"",1003,""2015"",13122"
"612,""peñalolén"",""no"",""argentina"",""hombre"",478,""2015"",13122"
"613,""peñalolén"",""no"",""perú"",""mujer"",777,""2015"",13122"
"614,""pichilemu"",""sí"",""estados unidos"",""hombre"",78,""2015"",6201"
"615,""pichilemu"",""sí"",""paraguay"",""mujer"",47,""2015"",6201"
"616,""pitrufquén"",""sí"",""argentina"",""hombre"",17,""2015"",9114"
"617,""pitrufquén"",""no"",""suiza"",""mujer"",18,""2015"",9114"
"618,""pitrufquén"",""no"",""paraguay"",""hombre"",22,""2015"",9114"
"619,""porvenir"",""sí"",""colombia"",""mujer"",6,""2015"",12301"
"620,""porvenir"",""no"",""argentina"",""mujer"",22,""2015"",12301"
"621,""porvenir"",""no"",""argentina"",""hombre"",28,""2015"",12301"
"622,""porvenir"",""no"",""colombia"",""hombre"",6,""2015"",12301"
"623,""porvenir"",""sí"",""argentina"",""mujer"",6,""2015"",12301"
"624,""porvenir"",""sí"",""argentina"",""hombre"",6,""2015"",12301"
"625,""pozo almonte"",""sí"",""colombia"",""mujer"",36,""2015"",1401"
"626,""pozo almonte"",""no"",""bolivia"",""mujer"",142,""2015"",1401"
"627,""pozo almonte"",""no"",""bolivia"",""hombre"",31,""2015"",1401"
"628,""pozo almonte"",""sí"",""colombia"",""hombre"",29,""2015"",1401"
"629,""pozo almonte"",""sí"",""brasil"",""hombre"",19,""2015"",1401"
"630,""pozo almonte"",""sí"",""perú"",""hombre"",69,""2015"",1401"
"631,""pozo almonte"",""sí"",""bolivia"",""mujer"",238,""2015"",1401"
"632,""pozo almonte"",""sí"",""bolivia"",""hombre"",180,""2015"",1401"
"633,""pozo almonte"",""no"",""colombia"",""hombre"",14,""2015"",1401"
"634,""pozo almonte"",""sí"",""venezuela"",""mujer"",6,""2015"",1401"
"635,""pozo almonte"",""sí"",""perú"",""mujer"",18,""2015"",1401"
"636,""pozo almonte"",""no"",""perú"",""mujer"",86,""2015"",1401"
"637,""providencia"",""sí"",""costa rica"",""hombre"",32,""2015"",13123"
"638,""providencia"",""no"",""israel"",""mujer"",30,""2015"",13123"
"639,""providencia"",""sí"",""cuba"",""mujer"",120,""2015"",13123"
"640,""providencia"",""sí"",""bolivia"",""mujer"",230,""2015"",13123"
"641,""providencia"",""sí"",""españa"",""hombre"",302,""2015"",13123"
"642,""providencia"",""sí"",""méxico"",""hombre"",74,""2015"",13123"
"643,""providencia"",""sí"",""argentina"",""hombre"",529,""2015"",13123"
"644,""providencia"",""sí"",""colombia"",""hombre"",219,""2015"",13123"
"645,""providencia"",""no"",""perú"",""hombre"",64,""2015"",13123"
"646,""providencia"",""no"",""brasil"",""hombre"",46,""2015"",13123"
"647,""providencia"",""sí"",""perú"",""mujer"",487,""2015"",13123"
"648,""providencia"",""sí"",""brasil"",""hombre"",98,""2015"",13123"
"649,""providencia"",""no"",""rumanía"",""hombre"",48,""2015"",13123"
"650,""providencia"",""no"",""alemania"",""mujer"",68,""2015"",13123"
"651,""providencia"",""no"",""austria"",""mujer"",57,""2015"",13123"
"652,""providencia"",""sí"",""francia"",""mujer"",172,""2015"",13123"
"653,""providencia"",""no"",""paraguay"",""hombre"",41,""2015"",13123"
"654,""providencia"",""no"",""colombia"",""mujer"",58,""2015"",13123"
"655,""providencia"",""sí"",""el salvador"",""mujer"",44,""2015"",13123"
"656,""providencia"",""no"",""brasil"",""mujer"",184,""2015"",13123"
"657,""providencia"",""sí"",""bolivia"",""hombre"",116,""2015"",13123"
"658,""providencia"",""no"",""bolivia"",""mujer"",59,""2015"",13123"
"659,""providencia"",""sí"",""venezuela"",""mujer"",239,""2015"",13123"
"660,""providencia"",""sí"",""suiza"",""hombre"",27,""2015"",13123"
"661,""providencia"",""no"",""italia"",""hombre"",50,""2015"",13123"
"662,""providencia"",""sí"",""estados unidos"",""mujer"",84,""2015"",13123"
"663,""providencia"",""sí"",""ecuador"",""mujer"",77,""2015"",13123"
"664,""providencia"",""no"",""italia"",""mujer"",66,""2015"",13123"
"665,""providencia"",""sí"",""españa"",""mujer"",394,""2015"",13123"
"666,""providencia"",""no"",""méxico"",""mujer"",46,""2015"",13123"
"667,""providencia"",""sí"",""dinamarca"",""mujer"",32,""2015"",13123"
"668,""providencia"",""no"",""marruecos"",""hombre"",36,""2015"",13123"
"669,""providencia"",""no"",""cuba"",""mujer"",120,""2015"",13123"
"670,""providencia"",""sí"",""venezuela"",""hombre"",301,""2015"",13123"
"671,""providencia"",""no"",""españa"",""mujer"",84,""2015"",13123"
"672,""providencia"",""sí"",""china"",""mujer"",118,""2015"",13123"
"673,""providencia"",""no"",""bolivia"",""hombre"",57,""2015"",13123"
"674,""providencia"",""sí"",""ecuador"",""hombre"",221,""2015"",13123"
"675,""providencia"",""no"",""méxico"",""hombre"",59,""2015"",13123"
"676,""providencia"",""no"",""argentina"",""mujer"",136,""2015"",13123"
"677,""providencia"",""sí"",""uruguay"",""hombre"",31,""2015"",13123"
"678,""providencia"",""no"",""reino unido"",""mujer"",32,""2015"",13123"
"679,""providencia"",""sí"",""italia"",""mujer"",119,""2015"",13123"
"680,""providencia"",""sí"",""reino unido"",""hombre"",57,""2015"",13123"
"681,""providencia"",""sí"",""francia"",""hombre"",155,""2015"",13123"
"682,""providencia"",""no"",""españa"",""hombre"",203,""2015"",13123"
"683,""providencia"",""sí"",""cuba"",""hombre"",121,""2015"",13123"
"684,""providencia"",""no"",""ecuador"",""mujer"",28,""2015"",13123"
"685,""providencia"",""no"",""uruguay"",""mujer"",62,""2015"",13123"
"686,""providencia"",""sí"",""brasil"",""mujer"",35,""2015"",13123"
"687,""providencia"",""no"",""australia"",""mujer"",102,""2015"",13123"
"688,""providencia"",""sí"",""uruguay"",""mujer"",66,""2015"",13123"
"689,""providencia"",""sí"",""filipinas"",""mujer"",27,""2015"",13123"
"690,""providencia"",""sí"",""paraguay"",""mujer"",85,""2015"",13123"
"691,""providencia"",""sí"",""italia"",""hombre"",86,""2015"",13123"
"692,""providencia"",""no"",""perú"",""mujer"",137,""2015"",13123"
"693,""providencia"",""sí"",""alemania"",""mujer"",155,""2015"",13123"
"694,""providencia"",""sí"",""argentina"",""mujer"",174,""2015"",13123"
"695,""providencia"",""sí"",""colombia"",""mujer"",240,""2015"",13123"
"696,""providencia"",""sí"",""alemania"",""hombre"",62,""2015"",13123"
"697,""providencia"",""sí"",""estados unidos"",""hombre"",60,""2015"",13123"
"698,""providencia"",""sí"",""perú"",""hombre"",647,""2015"",13123"
"699,""providencia"",""no"",""venezuela"",""mujer"",174,""2015"",13123"
"700,""pucón"",""sí"",""argentina"",""mujer"",61,""2015"",9115"
"701,""pucón"",""no"",""colombia"",""mujer"",42,""2015"",9115"
"702,""pudahuel"",""sí"",""venezuela"",""mujer"",284,""2015"",13124"
"703,""pudahuel"",""no"",""brasil"",""hombre"",83,""2015"",13124"
"704,""pudahuel"",""sí"",""brasil"",""mujer"",144,""2015"",13124"
"705,""pudahuel"",""sí"",""colombia"",""mujer"",419,""2015"",13124"
"706,""pudahuel"",""sí"",""perú"",""hombre"",654,""2015"",13124"
"707,""pudahuel"",""no"",""venezuela"",""mujer"",284,""2015"",13124"
"708,""pudahuel"",""no"",""haití"",""mujer"",293,""2015"",13124"
"709,""pudahuel"",""no"",""brasil"",""mujer"",172,""2015"",13124"
"710,""pudahuel"",""sí"",""ecuador"",""hombre"",83,""2015"",13124"
"711,""pudahuel"",""sí"",""ecuador"",""mujer"",1136,""2015"",13124"
"712,""pudahuel"",""sí"",""venezuela"",""hombre"",284,""2015"",13124"
"713,""pudahuel"",""sí"",""república dominicana"",""mujer"",163,""2015"",13124"
"714,""pudahuel"",""sí"",""colombia"",""hombre"",1651,""2015"",13124"
"715,""pudahuel"",""no"",""perú"",""mujer"",285,""2015"",13124"
"716,""pudahuel"",""sí"",""perú"",""mujer"",83,""2015"",13124"
"717,""pudahuel"",""sí"",""haití"",""mujer"",167,""2015"",13124"
"718,""pudahuel"",""sí"",""haití"",""hombre"",293,""2015"",13124"
"719,""pudahuel"",""no"",""colombia"",""hombre"",326,""2015"",13124"
"720,""puente alto"",""sí"",""perú"",""mujer"",1109,""2015"",13201"
"721,""puente alto"",""no"",""perú"",""mujer"",688,""2015"",13201"
"722,""puente alto"",""sí"",""argentina"",""mujer"",547,""2015"",13201"
"723,""puente alto"",""sí"",""ecuador"",""hombre"",304,""2015"",13201"
"724,""puente alto"",""no"",""paraguay"",""mujer"",118,""2015"",13201"
"725,""puente alto"",""no"",""brasil"",""mujer"",143,""2015"",13201"
"726,""puente alto"",""sí"",""perú"",""hombre"",631,""2015"",13201"
"727,""puente alto"",""no"",""no contesta"",""mujer"",149,""2015"",13201"
"728,""puente alto"",""sí"",""colombia"",""hombre"",286,""2015"",13201"
"729,""puente alto"",""sí"",""colombia"",""mujer"",184,""2015"",13201"
"730,""puente alto"",""no"",""colombia"",""mujer"",290,""2015"",13201"
"731,""puente alto"",""sí"",""ecuador"",""mujer"",471,""2015"",13201"
"732,""puente alto"",""no"",""bolivia"",""mujer"",197,""2015"",13201"
"733,""puente alto"",""no"",""costa rica"",""mujer"",275,""2015"",13201"
"734,""puente alto"",""sí"",""argentina"",""hombre"",169,""2015"",13201"
"735,""puente alto"",""no"",""uruguay"",""mujer"",148,""2015"",13201"
"736,""puente alto"",""no"",""ecuador"",""hombre"",304,""2015"",13201"
"737,""puerto montt"",""sí"",""corea del sur"",""hombre"",72,""2015"",10101"
"738,""puerto montt"",""no"",""perú"",""hombre"",77,""2015"",10101"
"739,""puerto montt"",""sí"",""colombia"",""mujer"",229,""2015"",10101"
"740,""puerto montt"",""no"",""perú"",""mujer"",98,""2015"",10101"
"741,""puerto montt"",""sí"",""perú"",""mujer"",64,""2015"",10101"
